"random","greedy_5","greedy_10"
37,44,44
32,44,44
37,43,43
40,44,44
39,44,44
39,44,44
36,44,43
38,44,44
39,42,44
38,44,44
32,44,44
37,44,44
37,44,44
34,44,44
37,44,44
38,43,44
35,42,43
34,44,44
37,44,43
37,44,44
41,44,43
40,44,44
38,44,44
38,43,44
38,44,44
34,44,44
39,44,44
38,44,44
38,43,44
37,44,44
37,44,44
36,44,43
36,44,44
40,44,44
33,44,43
36,44,44
34,44,43
33,43,44
37,44,44
33,44,44
39,44,44
39,44,44
38,42,44
38,44,44
40,44,44
35,44,43
39,44,44
36,44,44
39,44,44
32,44,44
38,44,44
36,44,44
36,44,44
35,44,44
39,43,44
40,44,42
38,44,44
42,44,44
38,43,44
35,44,44
37,44,44
40,44,43
39,43,44
38,44,44
38,44,44
38,44,44
40,43,44
40,44,43
38,44,44
37,43,43
39,44,44
39,44,44
33,44,44
38,43,44
38,44,44
39,44,44
36,44,44
34,44,44
40,44,44
28,44,44
38,44,44
36,43,44
35,44,44
37,44,44
40,44,42
37,44,44
39,44,44
39,44,44
35,44,44
37,44,44
39,44,44
37,44,42
40,44,44
38,44,42
42,44,44
39,42,43
39,43,44
35,43,44
37,44,43
39,44,44
41,43,44
37,42,44
33,44,44
40,44,42
33,44,44
40,44,44
36,44,44
39,44,44
37,44,44
41,44,44
37,44,44
39,44,44
39,44,44
40,44,42
38,44,43
39,44,44
35,44,44
35,44,44
37,44,44
34,44,44
37,44,43
37,44,44
36,44,44
35,44,44
35,44,44
34,44,42
35,44,44
37,44,44
37,44,44
42,44,44
40,43,44
37,44,44
37,44,42
38,44,44
37,44,44
38,44,44
38,44,44
38,43,44
35,44,44
39,44,44
37,44,44
40,44,42
39,44,44
34,44,44
40,44,43
37,44,44
37,44,43
33,44,43
35,44,44
33,44,44
34,44,43
36,44,43
36,43,44
38,44,43
39,44,44
38,44,44
35,44,44
38,44,44
38,44,44
30,44,44
37,44,44
33,44,44
36,44,44
32,44,43
36,44,44
38,44,44
34,44,44
40,44,44
37,44,43
38,44,44
36,44,42
37,44,44
37,44,44
38,42,44
41,44,44
31,44,44
34,44,44
37,44,44
37,44,43
38,44,44
38,43,43
34,44,43
40,44,44
40,44,44
39,44,44
36,43,44
33,44,44
39,44,44
39,42,44
34,44,44
38,44,44
35,43,44
35,44,44
32,44,43
32,44,44
40,44,44
34,44,44
36,44,44
38,44,44
35,44,44
34,44,44
36,44,44
35,44,44
38,44,44
38,44,44
38,44,44
40,44,44
38,44,44
35,44,44
40,44,44
37,44,43
32,44,44
36,44,44
40,44,44
40,44,44
42,44,44
35,44,44
35,44,44
35,44,44
37,44,44
37,43,44
41,43,44
34,44,44
35,44,44
36,44,44
34,44,44
27,44,44
37,44,44
36,44,44
41,44,44
34,43,44
38,44,44
40,44,44
36,44,44
31,44,44
32,44,44
36,44,44
39,44,44
39,43,44
38,44,44
35,44,44
34,44,43
40,44,44
37,44,44
38,44,44
37,44,43
40,44,44
38,43,44
38,43,42
32,44,44
34,43,44
34,43,44
40,44,44
32,44,44
35,44,44
37,42,44
32,44,44
37,42,44
39,44,44
38,44,44
38,42,44
37,43,44
38,44,44
36,44,44
37,44,44
33,44,44
34,43,44
42,44,44
38,44,44
30,44,44
38,44,44
37,44,44
40,44,44
37,44,42
36,44,44
38,44,44
36,44,44
38,44,44
39,44,44
39,44,44
36,44,44
34,44,44
35,44,44
38,44,44
30,44,44
37,44,44
40,44,44
36,44,44
36,44,44
37,44,44
37,44,44
34,43,44
37,44,44
37,44,44
35,43,44
35,44,44
32,44,44
30,44,42
38,44,44
35,44,44
39,44,44
39,44,44
35,44,44
38,44,44
39,43,44
38,43,44
37,44,44
36,44,43
38,44,44
38,44,43
37,44,44
39,44,44
34,43,44
36,44,44
42,44,44
34,44,44
34,44,44
31,44,44
33,44,44
37,44,44
38,44,44
35,44,44
36,44,44
34,44,44
33,44,44
34,44,44
36,44,43
38,44,44
36,44,44
41,44,43
37,44,44
39,44,43
38,44,43
36,42,43
32,44,44
38,44,44
39,44,44
36,44,43
41,43,44
40,43,44
39,44,44
37,44,43
39,44,44
41,44,44
32,44,44
34,44,44
37,44,44
39,44,44
34,43,43
39,44,44
36,44,44
40,44,44
41,44,44
37,44,44
33,44,44
40,44,44
35,44,43
39,42,44
32,44,43
36,44,44
39,44,42
36,44,43
34,44,44
38,44,44
38,43,44
37,44,44
40,44,44
35,44,44
36,44,44
36,43,44
37,44,44
38,44,44
31,43,42
38,44,44
38,44,44
37,44,44
39,44,44
37,44,44
34,44,44
36,44,44
34,44,44
32,44,44
37,44,44
35,44,44
35,43,44
34,44,44
36,44,44
33,44,44
33,44,43
32,44,44
38,44,44
36,43,44
40,44,44
40,44,44
38,44,44
37,44,44
37,44,43
38,44,44
38,44,44
38,44,44
37,44,43
38,44,44
38,44,44
38,42,44
36,44,43
36,43,44
33,44,44
34,44,44
34,44,44
31,44,44
35,43,44
38,44,44
41,43,44
33,44,44
39,42,44
39,44,44
33,44,44
35,44,44
38,44,44
38,43,44
39,44,43
34,44,44
37,43,44
35,44,44
37,44,44
35,43,44
32,43,43
40,44,44
38,44,44
38,44,44
38,44,44
32,44,44
34,44,44
37,44,44
34,43,44
40,44,44
34,44,44
35,43,44
32,43,44
38,44,44
36,44,43
38,44,44
39,44,44
37,44,44
38,44,43
40,44,44
38,44,44
33,44,44
37,44,44
37,44,44
33,43,44
36,43,44
34,44,44
34,44,44
40,44,44
37,44,44
38,43,43
38,44,44
36,44,44
37,44,44
38,44,44
39,44,44
38,44,44
35,44,43
32,44,44
37,44,44
36,42,44
38,44,44
40,44,44
38,44,44
37,44,44
39,42,44
34,44,44
35,44,44
39,44,43
36,44,44
37,44,44
34,43,44
37,44,44
34,43,44
36,44,44
38,44,44
38,44,44
39,44,44
30,44,44
41,44,44
40,43,44
38,44,44
37,44,44
38,44,43
36,44,44
40,44,44
35,43,44
36,44,44
37,44,44
38,44,44
31,44,43
35,44,43
37,44,44
35,44,44
38,44,44
37,44,44
30,44,44
40,44,44
36,44,43
41,44,43
40,44,44
38,44,43
37,44,44
38,44,42
37,44,44
38,44,44
39,44,44
34,44,42
39,43,44
37,44,44
39,44,44
41,42,44
38,43,44
37,44,44
37,44,44
33,44,44
39,44,42
37,44,44
37,44,44
38,44,44
36,44,44
38,44,42
35,44,44
35,44,44
38,43,43
36,44,44
38,44,44
36,44,44
37,43,44
32,44,44
34,44,44
33,44,43
36,44,42
39,44,44
34,44,43
38,43,44
40,44,44
39,44,44
37,44,44
32,44,42
36,44,44
40,44,44
36,44,43
34,44,43
34,44,44
37,44,44
36,44,44
38,44,44
40,44,44
34,42,44
39,44,44
39,44,44
38,43,44
40,44,44
38,44,44
39,44,44
36,44,44
38,44,44
35,44,43
33,44,44
38,44,42
36,44,44
36,44,44
40,43,44
39,44,44
31,44,44
36,44,44
38,44,44
36,44,44
37,44,44
36,44,44
35,44,43
36,44,44
38,43,43
38,44,44
39,44,44
39,44,44
37,44,44
40,44,44
32,44,44
36,44,44
38,44,44
40,44,44
37,44,44
36,44,43
37,44,44
34,44,44
40,44,44
37,44,44
35,42,44
36,44,44
37,44,44
40,44,43
38,44,44
38,43,44
35,42,44
29,43,44
38,44,43
41,44,44
38,44,44
32,43,44
33,44,44
39,44,44
33,44,44
35,44,43
40,43,44
39,44,44
35,44,44
34,44,44
36,44,44
38,44,44
38,44,42
39,44,44
37,44,44
34,43,44
40,44,43
37,44,44
33,44,44
39,44,43
37,44,44
26,44,44
32,43,44
39,44,44
31,44,44
39,44,44
37,44,44
36,44,44
35,44,44
41,44,43
40,44,44
38,44,44
37,44,44
31,44,44
40,44,43
36,43,44
36,44,44
35,44,44
36,44,44
29,44,44
41,44,44
36,43,44
37,44,42
34,44,44
39,44,44
34,44,44
33,43,43
32,44,44
36,44,44
37,44,44
35,44,44
37,44,44
36,44,44
34,44,44
36,44,44
36,44,44
36,43,44
35,44,44
39,42,44
39,44,44
37,44,44
37,44,42
36,44,44
41,44,44
40,43,44
40,44,44
40,44,44
32,44,44
28,44,42
37,44,43
39,44,44
39,42,44
40,44,44
36,44,42
36,42,44
39,43,43
38,44,44
37,43,44
33,44,42
37,43,43
35,43,44
36,44,44
38,44,44
38,44,44
34,42,44
39,44,44
38,44,44
38,43,43
39,44,44
39,44,42
39,44,44
38,44,44
38,44,44
40,44,44
39,44,44
40,44,44
39,44,42
35,44,44
35,44,44
35,44,44
40,44,44
38,44,44
35,44,44
38,44,44
36,43,44
36,43,44
37,44,44
36,44,44
36,44,42
35,44,44
34,44,44
34,44,43
34,44,43
36,43,44
39,44,44
36,44,44
37,44,44
38,44,44
36,44,44
39,44,43
31,44,44
37,44,43
40,44,44
38,42,44
35,44,44
39,44,43
40,44,44
36,44,44
39,44,42
32,44,44
38,44,44
38,44,44
40,44,44
36,44,43
39,44,44
38,44,44
40,44,44
38,43,44
39,44,43
34,44,44
38,44,44
36,44,43
39,42,44
35,44,44
39,44,44
36,44,43
40,42,44
42,44,44
39,42,44
34,44,44
39,44,44
40,43,44
39,44,44
33,43,44
40,44,44
33,44,44
32,44,44
34,44,44
39,44,44
36,44,44
35,44,44
38,44,44
37,44,44
38,44,44
31,44,44
35,44,44
36,44,44
36,43,44
35,44,43
36,44,44
31,44,44
38,43,44
31,44,42
36,44,44
38,44,44
37,44,44
36,44,44
38,44,44
35,43,44
38,44,44
35,44,44
37,44,44
37,44,44
32,44,44
36,43,43
38,44,44
36,44,42
41,44,44
35,44,44
37,44,44
38,44,42
36,44,44
38,43,44
37,44,44
35,44,44
37,44,44
34,44,44
38,44,44
38,44,44
32,44,44
38,44,43
34,44,44
39,44,42
32,44,44
35,44,44
36,44,43
37,44,44
40,44,44
30,43,44
38,44,44
41,44,44
38,44,44
36,42,44
33,43,43
36,44,44
41,44,44
36,43,43
38,44,44
39,43,44
34,44,44
36,44,44
39,44,42
41,44,44
36,44,44
37,44,44
37,44,44
30,42,44
35,44,44
37,44,44
38,44,44
40,44,44
40,44,44
36,43,42
39,44,43
32,43,43
38,44,44
34,44,44
39,44,44
38,44,42
38,44,44
39,44,44
33,44,44
42,43,44
31,44,43
39,42,43
37,44,42
40,43,44
36,44,44
40,44,44
34,44,44
41,43,44
32,43,44
37,44,44
37,44,44
37,44,44
39,44,44
38,42,44
34,44,44
36,44,44
40,44,44
37,42,44
38,44,44
34,44,44
39,44,44
38,44,44
39,44,44
39,42,44
36,44,42
36,44,44
35,44,44
37,44,44
38,44,44
37,44,44
38,44,44
39,44,42
34,44,43
41,44,44
34,44,44
40,44,44
37,43,44
38,44,44
41,44,44
36,44,44
39,44,42
38,44,44
36,43,44
42,43,44
30,44,44
35,44,44
37,43,44
36,44,44
36,44,44
38,44,44
38,43,44
29,44,43
31,43,44
37,44,44
27,43,44
38,43,44
38,43,44
42,44,44
37,43,43
37,44,44
35,43,44
38,44,44
29,44,44
37,44,44
37,44,44
37,44,44
40,44,44
37,44,44
40,44,44
37,44,44
37,44,44
34,43,44
34,44,44
35,44,44
36,44,43
35,44,44
35,44,44
34,44,42
38,43,44
39,44,43
34,44,44
38,44,44
39,44,44
37,44,44
38,44,44
41,44,44
38,44,43
37,42,44
36,44,44
36,44,44
39,44,42
39,44,44
39,44,43
36,44,44
34,44,44
36,44,43
33,44,44
40,43,44
33,44,44
38,44,44
34,43,44
38,44,44
35,44,44
42,44,44
38,44,44
32,44,44
37,44,42
38,44,44
39,44,44
37,44,44
34,44,42
42,44,44
38,44,44
36,44,44
35,43,44
29,44,44
40,44,44
39,44,44
37,43,44
32,44,44
38,44,44
39,44,44
32,44,43
34,44,44
34,44,44
39,42,44
40,44,44
35,44,44
38,42,44
37,44,44
37,44,43
39,44,43
36,44,44
37,43,44
34,44,44
38,44,44
37,44,44
36,44,44
32,44,44
38,44,43
34,44,43
38,44,44
34,44,44
36,44,44
37,44,44
36,43,44
40,44,44
39,44,43
36,43,44
38,44,44
40,44,44
41,43,44
